district,name,address,website,contact,district_roman,type
District 11,"Giorgio Perlasca Kereskedelmi, Vendéglátóipari Szakközépiskola és Szakiskola","Budapest, Maglódi út 8, 1106",http://www.perlasca.sulinet.hu,,XI,szakközépiskola
District 11,Keleti István Alapfokú Művészeti Iskola és Művészeti Szakgimnázium,"Budapest, Fehér út 10, 1106",http://www.kimi.hu/,,XI,szakgimnázium
District 11,Magyar Gyula Kertészeti Szakközépiskola és Szakiskola,"Budapest, Maglódi út 8, 1106",http://www.magyula.hu,,XI,szakközépiskola
District 11,Szent László Gimnázium,"Budapest, Kőrösi Csoma Sándor út 28-34, 1102",http://www.szlgbp.sulinet.hu,,XI,gimnázium
District 11,Bercsényi Miklós Élelmiszeripari Szakképző Iskola,"Budapest, Maglódi út 4/b, 1106",http://www.bercsenyisuli.hu,,XI,
District 11,Keleti Károly Közgazdasági Szakgimnázium,"Budapest, Gyakorló u. 21-23, 1106",http://www.keletiszki.hu,,XI,szakgimnázium
District 11,Pataky István Fővárosi Gyakorló Híradásipari és Informatikai Szakgimnázium,"Budapest, Salgótarjáni u. 53/b, 1101",https://www.pataky.hu,,XI,szakgimnázium
District 11,Budai Ciszterci Szent Imre Gimnázium,"Budapest, Villányi út 27, 1114",http://szig.hu/,,XI,gimnázium
District 11,József Attila Gimnázium,"Budapest, Váli u. 1, 1117",https://jagbp.hu/,,XI,gimnázium
District 11,Szent Margit Gimnázium,"Budapest, Villányi út 5-7, 1114",https://www.szmg.hu/,,XI,gimnázium
District 11,BME Két Tanítási Nyelvű Gimnázium,"Budapest, Egry József u. 3-11, 1111",https://www.bmegimnazium.hu/,,XI,gimnázium
District 11,Újbudai Széchenyi István Gimnázium,"Budapest, Egry József u. 3, 1111",http://www.szechenyigimnazium.hu/,,XI,gimnázium
District 11,Mechatronikai Szakgimnázium,"Budapest, Rétköz u. 39, 1118",http://www.mechatronika.hu/,,XI,szakgimnázium
District 11,Nemes Nagy Ágnes Művészeti Szakgimnázium,"Budapest, Thallóczy Lajos u. 1, 1115",http://nemesgimi.hu/,,XI,szakgimnázium
District 11,BGSZC Öveges József Technikum és Szakképző Iskola,"Budapest, Fehérvári út 10, 1117",http://www.oveges.hu/,,XI,technikum
District 11,Számalk-Szalézi Szakgimnázium,"Budapest, Mérnök u. 39, 1119",https://www.szamalk-szalezi.hu/,,XI,szakgimnázium
District 11,Kürt Alapítványi Gimnázium,"Budapest, Bogdánfy Ödön utca 5/b, 1117",https://kag.info.hu,,XI,gimnázium
District 11,"Szent II. János Pál Óvoda, Általános Iskola és Gimnázium","Budapest, Mezőkövesd út 10, 1116",https://www.janospal.hu/,,XI,gimnázium
District 11,Bethlen Gábor Általános Iskola és Gimnázium,"Budapest, Bartók Béla út 141, 1115",https://www.bethlen.hu/,,XI,gimnázium
District 11,Budai Rajziskola,"Budapest, Alkotás u. 45, 1123",https://www.budairajziskola.hu,,XI,
District 11,Orbánhegy Kollégium,"Budapest, Orbánhegyi út 30, 1126",https://orbanhegykollegium.hu/wp/,,XI,
District 11,Városmajori Gimnázium,"Budapest, Városmajor u. 71, 1122",https://www.vmg.sulinet.hu,,XI,gimnázium
District 11,Sashegyi Arany János Általános Iskola és Gimnázium,"Budapest, Meredek u. 1, 1124",http://aranyj.hu/,,XI,gimnázium
District 11,"Tamási Áron Általános Iskola, Gimnázium és Német Nemzetiségi Gimnázium","Budapest, Mártonhegyi út 34, 1124",http://www.tamasi.sulinet.hu/,,XI,gimnázium
District 11,Osztrák-Magyar Európaiskola,"Budapest, Istenhegyi út 32, 1126",https://europaschule.hu/hu,,XI,
District 11,BGSzC Budai Középiskolája,"Budapest, Márvány u. 32, 1126",https://budaikozepiskola.hu/,,XI,
District 11,Lauder Javne Zsidó Közösségi Iskola,"Budapest, Budakeszi út 48, 1121",https://www.lauder.hu/,,XI,
District 11,Orchidea Magyar–Angol Két Tanítási Nyelvű Gimnázium,"Budapest, Szent László út 59, 1135",https://www.ohebs.hu/,,XI,gimnázium
District 11,Európa Alapítvány Gimnázium - EAKI,"Budapest, Balzac u. 7, 1136",https://2020.eaki.hu/,,XI,gimnázium
District 11,"Budapesti Kolping Katolikus Általános Iskola, Gimnázium és Sportgimnázium","Budapest, Huba u. 6, 1134",http://www.kolping-huba.sulinet.hu/,,XI,gimnázium
District 11,Németh László Gimnázium és Általános Iskola,"Budapest, Nővér u. 15-17, 1131",http://www.nlg.sulinet.hu,,XI,gimnázium
District 11,Ady Endre Gimnázium,"Budapest, Röppentyű u. 62, 1139",http://www.adygimnazium.eu,,XI,gimnázium
District 11,Berzsenyi Dániel Gimnázium,"Budapest, Kárpát u. 49-53, 1133",http://www.berzsenyi.hu,,XI,gimnázium
District 11,Katona József Szakközépiskola,"Budapest, Váci út 107, 1138",http://katonaj-mkszig.hu,,XI,szakközépiskola
District 11,Magyar Hajózási Szakgimnázium és Szakközépiskola,"Budapest, Jász u. 153-155, 1131",http://www.hajozasi.fw.hu,,XI,szakközépiskola
District 11,Dobos C. József Vendéglátóipari Szakképző Iskola,"Budapest, Huba u. 7, 1134",http://www.dobosvszi.hu,,XI,
District 11,Károlyi Mihály Kéttannyelvű Közgazdasági Szakgimnázium,"Budapest, Váci út 89, 1139",http://www.karolyi-kozgazd.hu,,XI,szakgimnázium
District 11,Bolyai János Műszaki Technikum,"Budapest, Váci út 21, 1134",https://bolyai-bp.edu.hu,,XI,technikum
District 11,Budapesti Komplex SZC Modell Divatiskolája,"Budapest, Vág u. 12, 1133",http://www.modelldivatiskola.hu/,,XI,
District 11,Verebély László Szakgimnázium,"Budapest, Üteg u. 15, 1139",http://www.verebelyszki.hu/,,XI,szakgimnázium
