district,name,address,website,contact,district_roman,type
Unknown District,Régi Újpesti Bródy Imre Gimnázium,"Budapest, Attila utca 10.",,Az épület üresen áll.,,gimnázium
Unknown District,Bay Zoltán Szakközépiskola,"Budapest, Lőrincz utca 40.",,Az épület üresen áll.,,szakközépiskola
District 10,Károlyi István 12 Évfolyamos Gimnázium,"Budapest, Erzsébet u., 1042",http://kig.hu,,X,gimnázium
District 10,Berzeviczy Gergely Két Tanítási Nyelvű Közgazdasági Szakgimnázium,"Budapest, Baross u. 72, 1047",http://berzeviczy.hu,,X,szakgimnázium
District 10,Kanizsay Dorottya Egészségügyi Szakképző Iskola és Gimnázium,"Budapest, Kassai u. 24/a, 1043",http://www.kanizsay.sulinet.hu,,X,gimnázium
District 10,Újpesti Csokonai Vitéz Mihály Általános Iskola és Gimnázium,"Budapest, Bőrfestő u. 5-9, 1048",http://www.csvmg.hu,,X,gimnázium
District 10,Budapesti Komplex SZC Kozma Lajos Faipari és Kreatív Technikum,"Budapest, Deák Ferenc u. 40, 1041",http://www.kozmafa.hu,,X,technikum
District 10,Xántus János Idegenforgalmi Gyakorló Középiskola,"Budapest, Markó u. 18-20, 1055",http://www.xantuski.hu,,X,
District 10,"Budapesti Ward Mária Általános Iskola, Gimnázium és Zeneművészeti Szakgimnázium","Budapest, Irányi u. 3, 1056",http://wardmaria.hu,,X,szakgimnázium
District 10,Deák Téri Evangélikus Gimnázium,"Budapest, Sütő u. 1, 1052",http://deakteri.hu,,X,gimnázium
District 10,ELTE Apáczai Csere János Gyakorló Gimnázium és Kollégium,"Budapest, Papnövelde u. 4, 1053",http://www.apaczai.elte.hu,,X,gimnázium
District 10,Eötvös József Gimnázium,"Budapest, Reáltanoda utca 7, 1053",http://www.ejg.hu,,X,gimnázium
District 10,Piarista Gimnázium,"Budapest, Piarista u. 1, 1052",http://budapest.piarista.hu,,X,gimnázium
District 10,Veres Pálné Gimnázium,"Budapest, Veres Pálné u. 38, 1053",http://vpg.hu,,X,gimnázium
District 10,Bartók Béla Zeneművészeti és Hangszerészképző Gyakorló Szakgimnázium,"Budapest, Nagymező u. 1, 1065",http://konzi.hu,,X,szakgimnázium
District 10,Semmelweis Egyetem Raoul Wallenberg Többcélú Szakképző Intézménye,"Budapest, Rippl Rónai utca 22-26, 1068",https://semmelweis.hu/raoulwallenberg/,,X,
District 10,Hriszto Botev Bolgár–Magyar Általános Iskola és Gimnázium,"Budapest, Bajza u. 44, 1062",http://www.bolgarok.hu/index.php?id=90,,X,gimnázium
District 10,Kölcsey Ferenc Gimnázium,"Budapest, Munkácsy Mihály u. 26, 1063",http://www.kolcsey-bp.hu,,X,gimnázium
District 10,Szinyei Merse Pál Gimnázium,"Budapest, Szinyei Merse u. 7, 1063",http://www.szinyeigimibp.hu,,X,gimnázium
District 10,Pesti Barnabás Élelmiszeripari Szakgimnázium és Szakközépiskola,"Budapest, Andrássy út 63-65, 1062",https://www.pestibarnabas.hu/,Itt működött korábban aMária Terézia Leánygimnázium / Varga Katalin Gimnáziumis.,X,szakközépiskola
District 10,Terézvárosi Kereskedelmi Szakközépiskola és Szakiskola,"Budapest, Szondi u. 41, 1064",http://www.kersuli.hu/hu,,X,szakközépiskola
District 10,"Wesselényi Utcai Bölcsőde, Óvoda, Általános Iskola és Gimnázium","Budapest, Wesselényi u. 44., 1075",,,X,gimnázium
District 10,Budapest-Fasori Evangélikus Gimnázium,"Budapest, Városligeti fasor 17–21., 1071",http://www.fasori.hu/,,X,gimnázium
District 10,Alsóerdősori Bárdos Lajos Általános Iskola és Gimnázium,"Budapest, Alsó erdősor u. 14-16, 1074",http://alsoerdosor.hu/,,X,gimnázium
